email,name,nameOfOrganization
info@defjam.com,Def Jam A&R,Def Jam Recordings
info@interscope.com,Interscope A&R,Interscope Records
info@republicrecords.com,Republic A&R,Republic Records
info@atlanticrecords.com,Atlantic A&R,Atlantic Records
info@300ent.com,300 Entertainment A&R,300 Entertainment
info@dreamville.com,Dreamville A&R,Dreamville Records
info@empire.fm,Empire A&R,Empire Distribution
info@capitolrecords.com,Capitol Records A&R,Capitol Records
info@motownrecords.com,Motown A&R,Motown Records
info@qualitycontrolmusic.com,Quality Control A&R,Quality Control Music
info@lvrn.com,LVRN A&R,LVRN
info@rocnation.com,Roc Nation A&R,Roc Nation
info@virginmusic.com,Virgin Music A&R,Virgin Music
info@momandpopmusic.com,Mom + Pop A&R,Mom + Pop Music
info@beggars.com,Beggars Group A&R,Beggars Group
info@concord.com,Concord A&R,Concord Music
info@rcarecords.com,RCA A&R,RCA Records
info@warnerrecords.com,Warner Records A&R,Warner Records
info@sonymusic.com,Sony Music A&R,Sony Music
info@eardrummer.com,Ear Drummer A&R,Ear Drummer Records
info@10summers.com,10 Summers A&R,10 Summers Records
info@sbprojects.com,SB Projects,SB Projects
info@maverick.com,Maverick A&R,Maverick
info@wndrknd.com,WNDRKND A&R,WNDRKND
info@awal.com,AWAL A&R,AWAL
info@shorefire.com,Shore Fire Media,Shore Fire Media
info@bighassle.com,Big Hassle Media,Big Hassle Media
info@audibletreats.com,Audible Treats,Audible Treats
info@lyricallemonade.com,Lyrical Lemonade,Lyrical Lemonade
info@prettybird.co,Prettybird,Prettybird
info@thepresshouse.com,The Press House,The Press House
info@maximaticmedia.com,Maximatic Media,Maximatic Media
info@lumedia.co,Lu Media,Lu Media
info@planetarygroup.com,Planetary Group,Planetary Group
info@starlightpr1.com,Starlight PR,Starlight PR
info@xposuremusic.com,Xposure Music,Xposure Music
info@symbolycone.com,Symbolyc One,S1
info@electricfeel.com,Electric Feel,Electric Feel
info@mtheory.com,M Theory,M Theory
info@crushmusic.com,Crush Music,Crush Music
info@range.media,Range Media,Range Media
info@redlightmanagement.com,Red Light Management,Red Light Management
info@apa-agency.com,APA Agency,APA Agency
info@paradigmagency.com,Paradigm Agency,Paradigm Agency
info@unitedtalent.com,United Talent,United Talent Agency
info@icmpartners.com,ICM Partners,ICM Partners
info@primarywave.com,Primary Wave,Primary Wave Music
info@broadcastmusic.com,Broadcast Music,BMI
info@ascap.com,ASCAP,ASCAP
info@sesac.com,SESAC,SESAC
