email,name,nameOfOrganization,phone
media@petpulsemag1.com,Media Desk,Pet Pulse Magazine,
editorial@tailtrendjournal1.com,Partnerships Team,Tail Trend Journal,
partnerships@pawprintliving1.com,Feature Editor,Pawprint Living,
media@barkandstyle1.com,Production Coordinator,Bark & Style,
hello@fetchlifestyle1.com,Commercial Buyer,Fetch Lifestyle,
features@urbanpetreview1.com,Video Team,Urban Pet Review,
editorial@caninecultureweekly1.com,PR Manager,Canine Culture Weekly,
press@homehounddigest1.com,Editorial Lead,Home Hound Digest,
media@snoutandsociety1.com,Agency Desk,Snout & Society,
partnerships@petscenequarterly1.com,Campaign Producer,Pet Scene Quarterly,
agency@islandadcollective1.com,Media Desk,Island Ad Collective,
partnerships@northshorecreative1.com,Partnerships Team,North Shore Creative,
media@ohanaadworks1.com,Feature Editor,Ohana AdWorks,
bookings@bluewavebrandstudio1.com,Production Coordinator,Blue Wave Brand Studio,
agency@sunsetcampaignhouse1.com,Commercial Buyer,Sunset Campaign House,
production@motionmuttproductions1.com,Video Team,Motion Mutt Productions,
bookings@alohaframeco1.com,PR Manager,Aloha Frame Co,
casting@goldenreelhawaii1.com,Editorial Lead,Golden Reel Hawaii,
media@seabreezevideoteam1.com,Agency Desk,Seabreeze Video Team,
buyers@tradewindcommercials1.com,Campaign Producer,Tradewind Commercials,
buying@pacificspotbuyers1.com,Media Desk,Pacific Spot Buyers,
partnerships@brightbannermedia1.com,Partnerships Team,Bright Banner Media,
press@starlightprgroup1.com,Feature Editor,Starlight PR Group,
media@harborlinepublicity1.com,Production Coordinator,Harborline Publicity,
editorial@coastalfeaturedesk1.com,Commercial Buyer,Coastal Feature Desk,
media@petpulsemag2.com,Video Team,Pet Pulse Magazine,
editorial@tailtrendjournal2.com,PR Manager,Tail Trend Journal,
partnerships@pawprintliving2.com,Editorial Lead,Pawprint Living,
media@barkandstyle2.com,Agency Desk,Bark & Style,
hello@fetchlifestyle2.com,Campaign Producer,Fetch Lifestyle,
features@urbanpetreview2.com,Media Desk,Urban Pet Review,
editorial@caninecultureweekly2.com,Partnerships Team,Canine Culture Weekly,
press@homehounddigest2.com,Feature Editor,Home Hound Digest,
media@snoutandsociety2.com,Production Coordinator,Snout & Society,
partnerships@petscenequarterly2.com,Commercial Buyer,Pet Scene Quarterly,
agency@islandadcollective2.com,Video Team,Island Ad Collective,
partnerships@northshorecreative2.com,PR Manager,North Shore Creative,
media@ohanaadworks2.com,Editorial Lead,Ohana AdWorks,
bookings@bluewavebrandstudio2.com,Agency Desk,Blue Wave Brand Studio,
agency@sunsetcampaignhouse2.com,Campaign Producer,Sunset Campaign House,
production@motionmuttproductions2.com,Media Desk,Motion Mutt Productions,
bookings@alohaframeco2.com,Partnerships Team,Aloha Frame Co,
casting@goldenreelhawaii2.com,Feature Editor,Golden Reel Hawaii,
media@seabreezevideoteam2.com,Production Coordinator,Seabreeze Video Team,
