email,name,nameOfOrganization
info@atorecords.com,ATO Records A&R,ATO Records
info@bigmachinelabelgroup.com,Big Machine Label Group A&R,Big Machine Label Group
info@epicrecords.com,Epic Records A&R,Epic Records
info@geffen.com,Geffen Records A&R,Geffen Records
info@islandrecords.com,Island Records A&R,Island Records
info@lavarecords.com,Lava Records A&R,Lava Records
info@mercuryrecords.com,Mercury Records A&R,Mercury Records
info@olelabelgroup.com,Ole Label Group A&R,Ole Label Group
info@polyvinylrecords.com,Polyvinyl Records A&R,Polyvinyl Records
info@riserecords.com,Rise Records A&R,Rise Records
info@roadrunnerrecords.com,Roadrunner Records A&R,Roadrunner Records
info@sirerecords.com,Sire Records A&R,Sire Records
info@subpop.com,Sub Pop Records A&R,Sub Pop Records
info@topdawgent.com,Top Dawg Entertainment A&R,TDE
info@warnernashville.com,Warner Nashville A&R,Warner Nashville
info@asylumrecords.com,Asylum Records A&R,Asylum Records
info@canvasbackmusic.com,Canvasback Music A&R,Canvasback Music
info@dualtone.com,Dualtone Records A&R,Dualtone Records
info@elektra.com,Elektra Records A&R,Elektra Records
info@hollywoodrecords.com,Hollywood Records A&R,Hollywood Records
info@photofinishrecords.com,Photo Finish Records A&R,Photo Finish Records
info@rounder.com,Rounder Records A&R,Rounder Records
info@neongoldrecords.com,Neon Gold Records A&R,Neon Gold Records
info@fueledbyramen.com,Fueled By Ramen A&R,Fueled By Ramen
info@descendantrecords.com,Descendant Records A&R,Descendant Records
