email,name,nameOfOrganization
press@reachrecords.com,Reach Records Team,Reach Records
info@hiswillrecords.com,His Will Records,His Will Records
Booking@HisWillRecords.com,His Will Records Booking,His Will Records
info@holyculture.net,Holy Culture,Holy Culture
trig@holyculture.net,Holy Culture (Advertising),Holy Culture
me@rapzilla.com,Rapzilla,Rapzilla
Info@humblebeast.com,Humble Beast,Humble Beast Records
contactus@bbrmusicgroup.com,BBR Music Group,BBR Music Group (Jelly Roll label)
camille@bbrmusicgroup.com,Camille Kenny VP A&R,BBR Music Group
jacee@bbrmusicgroup.com,Jacee Badeaux Sr. Director A&R,BBR Music Group
info@leftright.co,Left Right Management,Left Right Management (Jelly Roll)
jennifer.g.vessio@gmail.com,Jennifer Vessio Press,Jelly Roll / Left Right
infocmg@wmeentertainment.com,WME CMG Booking,William Morris Endeavor (Reach artists)
radio@capitolcmg.com,Capitol Christian Music Group Radio,Capitol CMG
CCMGRoyaltyHelp@umusic.com,Capitol CMG Royalties,Capitol Christian Music Group
hunter.williams@caa.com,Hunter Williams CAA,Creative Artists Agency (Jelly Roll booking)
madler@teamwass.com,Matt Adler,Wasserman Music (Andy Mineo)
info@reflectionmusicgroup.com,Reflection Music Group,Reflection Music Group
info@lampmode.com,Lamp Mode Recordings,Lamp Mode Recordings
info@godovermoney.com,God Over Money Records,God Over Money Records
info@integrationmusic.com,Integration Music,Integration Music
info@illect.com,Illect Recordings,Illect Recordings
info@syntaxcreative.com,Syntax Creative,Syntax Creative
info@grapetreerecords.com,Grapetree Records,Grapetree Records
info@rip-records.com,RiP Records,RiP Records
info@collisionrecords.com,Collision Records,Collision Records (Christian hip-hop)
contact@crossmovement.com,Cross Movement Records,Cross Movement Records
info@mandaterecords.com,M.A.N.D.A.T.E. Records,M.A.N.D.A.T.E. Records
info@goodliferecordings.com,Good Life Recordings,Good Life Recordings
info@missionrecords.com,Mission Records,Mission Records
info@ambassadorrecords.com,Ambassador Records,Ambassador Records
info@flameworldwide.com,FLAME Worldwide,FLAME / Clear Sight Music
info@lampmode.net,Lamp Mode (alt),Lamp Mode Recordings
booking@reachrecords.com,Reach Records Booking,Reach Records
info@wmeentertainment.com,WME General,William Morris Endeavor
submissions@rapzilla.com,Rapzilla Submissions,Rapzilla
info@holyhiphop.com,Holy Hip Hop,Holy Hip Hop
contact@christianhiphop.net,Christian Hip Hop,Christian Hip Hop
info@sphereofhiphop.com,Sphere of Hip Hop,Sphere of Hip Hop
info@juvenilecourtrecords.com,Juvenile Court Records,Juvenile Court Records
info@indievisionmusic.com,Indie Vision Music,Indie Vision Music
info@newreleasetoday.com,New Release Today,New Release Today
info@jesusfreakhideout.com,Jesus Freak Hideout,Jesus Freak Hideout
info@cmspin.com,CMSpin,CMSpin
info@crossrhythms.co.uk,Cross Rhythms,Cross Rhythms
info@jamthehype.com,Jam the Hype,Jam the Hype
info@gospelmusic.org,Gospel Music Association,Gospel Music Association
info@dove.org,GRAMMY Gospel,Dove Awards / GMA
info@nara.org,Nashville A&R,Nashville A&R
info@musicrow.com,MusicRow,MusicRow
