email,name,nameOfOrganization
info@dreamrecords.com,Dream Records A&R,Dream Records
info@facedownrecords.com,Facedown Records A&R,Facedown Records
info@comeandlive.com,Come&Live Records,Come&Live
info@7spinmusic.com,7 Spin Music A&R,7 Spin Music
info@ivavmusic.com,IVAV Music A&R,IVAV Music
info@missionhousemusic.com,Mission House Music A&R,Mission House Music
info@covenantartists.com,Covenant Artists A&R,Covenant Artists
info@atlasroadrecords.com,Atlas Road Records A&R,Atlas Road
info@doxologymusic.com,Doxology Music A&R,Doxology Music
info@overflowmusic.com,Overflow Music A&R,Overflow Music
info@covenantworship.com,Covenant Worship A&R,Covenant Worship
info@gatewaycreate.com,Gateway Create A&R,Gateway Create
info@five14records.com,Five14 Records A&R,Five14 Records
info@raptivism.com,Raptivism A&R,Raptivism
info@slamminmedia.com,Slammin Media A&R,Slammin Media
info@missionrecords.org,Mission Records A&R,Mission Records
info@refugerecords.com,Refuge Records A&R,Refuge Records
info@integrityartists.com,Integrity Artists A&R,Integrity Artists
info@pillarmusic.com,Pillar Music A&R,Pillar Music
info@integratedmusic.com,Integrated Music A&R,Integrated Music
info@blindrecords.com,Blind Records A&R,Blind Records
info@flickerrecords.com,Flicker Records A&R,Flicker Records
info@generationmusic.com,Generation Music A&R,Generation Music
info@calvarymusic.com,Calvary Music A&R,Calvary Music
info@riversideworship.com,Riverside Worship A&R,Riverside Worship
